name,datetime,log_temp,feelslike,log_precip,precipprob,precipcover,log_humidity,log_dew,log_windspeed,log_windgust,winddir,log_solarradiation,solarenergy,uvindex,cloudcover,log_pressure,visibility,snowdepth,severerisk,year,month,day,season_Dry,season_Wet
india,2022-10-07,4.3425058765115985,75.9,0.0,100,8,4.498697941477575,4.29592393562047,2.341805806147327,2.9856819377004897,83.5,4.067315889834181,4.9,3,94.8,6.918497375514039,1.6,0,14,2022,10,7,True,False
india,2022-10-08,4.298645025734831,72.6,1.0986122886681098,100,25,4.598145571051127,4.291828366755733,2.517696472610991,2.9601050959108397,77.6,3.005682604407159,1.7,1,99.5,6.91928851479581,1.1,0,14,2022,10,8,True,False
india,2022-10-09,4.28496492183075,71.6,0.6931471805599453,100,25,4.605170185988092,4.279440045898781,2.517696472610991,2.91235066461494,56.8,3.349904087274605,2.2,2,100.0,6.918695219020472,0.9,0,14,2022,10,9,True,False
india,2022-10-10,4.286341384539473,71.7,0.0,100,20,4.58700621536042,4.273884476054178,2.322387720290225,2.72785282839839,70.7,4.663439094112067,9.1,4,100.0,6.9203753103382395,1.4,0,14,2022,10,10,True,False
india,2022-10-11,4.3528552573736015,78.3,0.0,100,8,4.4796069630127455,4.294560608892605,1.916922612182061,2.681021528714291,147.3,4.805659046737495,10.5,5,82.5,6.918596302160012,1.6,0,14,2022,10,11,True,False
india,2022-10-12,4.364371699435161,78.9,0.0,0,0,4.415219602029645,4.276666119016055,1.916922612182061,2.681021528714291,280.6,5.21275947818639,15.8,7,50.0,6.919881458779978,1.2,0,14,2022,10,12,True,False
india,2022-10-13,4.364371699435161,78.2,0.0,0,0,4.312140507209715,4.22683374526818,2.2082744135228043,2.8678989020441064,281.8,5.388158070547826,18.6,8,8.1,6.920967610454272,1.7,0,14,2022,10,13,True,False
india,2022-10-14,4.366912996863833,78.4,0.0,0,0,4.28496492183075,4.21803603456465,2.2082744135228043,2.8390784635086144,285.7,5.413875707182309,19.2,8,0.4,6.920770216059632,1.7,0,14,2022,10,14,True,False
india,2022-10-15,4.37449836825309,79.0,0.0,0,0,4.259859000699674,4.212127597878484,2.2082744135228043,2.797281334830153,292.6,5.411199523604709,19.2,8,3.3,6.920079028670969,1.4,0,14,2022,10,15,True,False
india,2022-10-16,4.364371699435161,78.0,0.0,0,0,4.26549281841793,4.198704577546343,1.7749523509116738,2.2925347571405443,282.1,5.399971020274537,19.1,8,0.1,6.922151159265869,1.3,0,14,2022,10,16,True,False
india,2022-10-17,4.366912996863833,77.8,0.0,0,0,4.209160236650682,4.169761201506855,2.0014800002101243,2.5877640352277083,263.9,5.392262979390565,19.0,8,0.0,6.922151159265869,1.5,0,14,2022,10,17,True,False
india,2022-10-18,4.373238128640803,77.9,0.0,0,0,4.075841090657541,4.11251186617755,1.7404661748405046,2.4849066497880004,252.4,5.397710110426072,19.1,8,0.0,6.920770216059632,1.6,0,14,2022,10,18,True,False
india,2022-10-19,4.390738575275903,79.3,0.0,0,0,3.949318790171843,4.08260930600368,1.916922612182061,2.2300144001592104,202.3,5.3757412635128405,18.6,8,0.2,6.9203753103382395,1.9,0,14,2022,10,19,True,False
india,2022-10-20,4.384523514872469,78.8,0.0,0,0,4.01096295328305,4.09933210373314,1.7404661748405046,2.2925347571405443,118.7,5.357529226179882,18.0,8,15.2,6.922052583682961,1.9,0,14,2022,10,20,True,False
india,2022-10-21,4.383275854074314,78.6,0.0,0,0,4.032469158504013,4.1059436980654525,1.7404661748405046,2.501435951739211,272.9,5.36970736263471,18.4,8,23.3,6.924317367281115,1.7,0,14,2022,10,21,True,False
