week_starting_date,avg_max_temp,avg_min_temp,avg_temp,avg_feels_like_max_temp,avg_feels_like_min_temp,avg_feels_like_temp,avg_dew_point,avg_humidity,total_precipitation,avg_precipitation_probability,avg_precipitation_cover,total_snow,avg_snow_depth,avg_wind_gust,avg_wind_speed,avg_wind_direction,avg_sea_level_pressure,avg_cloud_cover,avg_visibility,avg_solar_radiation,total_solar_energy,avg_uv_index,avg_severe_risk,avg_moon_phase,most_common_conditions,most_common_description,most_common_icon,most_common_station
2016-09-25,26.857142857142858,19.914285714285715,23.24285714285714,27.02857142857143,19.914285714285715,23.342857142857145,18.085714285714285,74.71428571428571,12.245,14.285714285714286,6.547142857142857,0.0,0.0,29.114285714285717,18.1,67.5,1018.9714285714286,62.614285714285714,15.700000000000001,154.67142857142858,93.4,5.285714285714286,,0.7085714285714285,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-10-02,21.414285714285715,18.0,19.52857142857143,21.414285714285715,18.0,19.52857142857143,17.428571428571427,88.68571428571428,58.565,100.0,39.285714285714285,0.0,0.0,38.728571428571435,22.24285714285714,90.77142857142857,1018.0285714285714,92.61428571428571,13.557142857142859,69.0,41.8,3.2857142857142856,,0.5242857142857142,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-10-09,21.857142857142858,15.828571428571427,18.514285714285712,21.857142857142858,15.828571428571427,18.514285714285712,14.514285714285714,79.11428571428571,10.771,28.571428571428573,11.904285714285715,0.0,0.0,33.214285714285715,25.214285714285715,129.85714285714286,1021.2285714285715,67.97142857142858,15.700000000000001,125.10000000000001,76.2,4.857142857142857,,0.18142857142857144,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-10-16,20.37142857142857,10.014285714285714,14.87142857142857,20.37142857142857,9.157142857142857,14.742857142857142,8.857142857142858,69.81428571428572,0.011,14.285714285714286,0.5957142857142858,0.0,0.0,29.414285714285715,19.771428571428572,215.32857142857142,1025.9,38.07142857142857,15.642857142857142,182.9,110.2,6.571428571428571,,0.41428571428571426,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-10-23,25.114285714285717,14.971428571428572,19.357142857142858,25.75714285714286,14.614285714285714,19.385714285714283,13.742857142857144,72.08571428571429,7.178,42.857142857142854,2.9757142857142855,0.0,0.0,40.214285714285715,23.942857142857147,206.24285714285716,1012.6,49.457142857142856,15.828571428571427,152.65714285714284,91.8,6.0,,0.6585714285714286,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-10-30,19.542857142857144,9.642857142857142,14.271428571428572,19.542857142857144,8.814285714285715,14.071428571428571,6.971428571428571,64.04285714285714,0.931,28.571428571428573,3.5714285714285716,0.0,0.0,48.771428571428565,27.099999999999998,233.79999999999998,1022.1,50.94285714285714,15.928571428571429,143.34285714285713,86.4,5.285714285714286,,0.7514285714285714,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-11-06,20.67142857142857,10.542857142857143,14.971428571428572,20.62857142857143,9.957142857142857,14.885714285714286,7.528571428571429,63.857142857142854,0.07200000000000001,28.571428571428573,1.1914285714285715,0.0,0.0,36.114285714285714,21.814285714285713,279.45714285714286,1023.3714285714286,61.18571428571429,15.685714285714285,135.55714285714288,82.8,5.714285714285714,,0.13285714285714287,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-11-13,16.67142857142857,5.785714285714286,10.771428571428572,16.67142857142857,3.585714285714286,9.885714285714286,1.8714285714285714,56.65714285714286,4.729,28.571428571428573,4.762857142857143,0.0,0.0,36.68571428571429,25.514285714285712,241.15714285714284,1021.2285714285715,35.285714285714285,15.771428571428572,134.85714285714286,81.5,5.714285714285714,,0.3671428571428571,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-11-20,16.82857142857143,5.471428571428571,10.357142857142858,16.157142857142855,2.6999999999999997,9.171428571428573,2.942857142857143,62.714285714285715,9.679,42.857142857142854,7.738571428571428,0.0,0.0,39.971428571428575,25.785714285714285,262.7142857142857,1015.2571428571429,43.18571428571429,15.914285714285715,110.87142857142858,67.10000000000001,4.714285714285714,,0.6042857142857143,"Rain, Partially cloudy",Clear conditions throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-11-27,11.157142857142857,3.8857142857142857,7.185714285714285,10.314285714285715,1.157142857142857,5.314285714285715,-2.1285714285714286,53.971428571428575,0.0,0.0,0.0,0.0,0.0,35.714285714285715,21.942857142857143,220.34285714285716,1022.4,54.74285714285714,15.928571428571429,105.75714285714285,64.0,4.428571428571429,,0.8414285714285714,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-12-04,13.700000000000001,6.685714285714285,9.957142857142857,13.257142857142856,4.314285714285714,8.528571428571428,3.628571428571429,66.89999999999999,17.313,57.142857142857146,14.879999999999999,0.0,0.0,48.31428571428571,24.642857142857142,240.61428571428573,1016.4571428571428,76.89999999999999,15.085714285714285,75.68571428571428,45.9,3.2857142857142856,,0.21714285714285714,Partially cloudy,Partly cloudy throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-12-11,7.542857142857143,1.7142857142857142,4.4,5.2,-2.6285714285714286,1.4000000000000001,-2.942857142857143,61.44285714285714,31.847,28.571428571428573,11.904285714285715,0.0,0.014285714285714287,37.728571428571435,26.014285714285712,247.42857142857142,1022.5571428571428,67.14285714285714,15.342857142857143,85.21428571428571,51.6,3.857142857142857,,0.31285714285714283,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-12-18,8.0,-0.48571428571428577,3.3285714285714283,6.771428571428571,-5.5,0.04285714285714258,-4.371428571428572,60.84285714285714,12.452,57.142857142857146,13.094285714285714,0.3,0.04285714285714286,52.371428571428574,31.82857142857143,242.31428571428572,1019.6857142857143,77.07142857142857,15.542857142857143,71.15714285714286,43.800000000000004,3.142857142857143,,0.5571428571428572,Partially cloudy,Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-12-25,7.857142857142857,6.344131569286608e-17,3.7571428571428567,6.957142857142857,-3.4428571428571426,1.3857142857142857,-2.8857142857142857,64.41428571428571,13.901,28.571428571428573,5.357142857142857,0.0,0.0,31.771428571428572,20.885714285714283,141.32857142857142,1028.9142857142856,61.971428571428575,15.185714285714285,92.24285714285715,55.7,4.142857142857143,,0.7885714285714285,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2017-01-01,10.828571428571427,2.757142857142857,6.8999999999999995,9.299999999999999,0.28571428571428564,4.8,-0.35714285714285715,62.34285714285715,6.291,28.571428571428573,4.167142857142857,0.0,0.0,50.800000000000004,30.557142857142857,233.77142857142854,1018.7428571428571,60.199999999999996,15.842857142857143,82.70000000000002,49.8,4.0,,0.4442857142857143,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
